N75	t1	{NESNO}|{MELUN}#{TAEGU,GEOFO,CORBR,MANVI,ACACH}|{GALGA,MELGA,ANAPL,TINMA,STRCA,PTEGU,MESUN,COLLI,PHORU,PODCR,CHLUN,TAUER,CUCCA,BALRE,CHAVO,OPHHO,EURHE,PHALE,GAVST,APTFO,PYGAD,FULGL,PHACA,NIPNI,EGRGA,PELCR,CHAPE,CALAN,CAPCA,HALLE,HALAL,CATAU,TYTAL,PICPU,MERNU,BUCRH,APAVI,LEPDI,COLST,CARCR,FALPE}	1	1966.79	1973.22
N75	t2	{GALGA,MELGA,ANAPL,TINMA,STRCA,PTEGU,MESUN,COLLI,PHORU,PODCR,CHLUN,TAUER,CUCCA,BALRE,CHAVO,OPHHO,EURHE,PHALE,GAVST,APTFO,PYGAD,FULGL,PHACA,NIPNI,EGRGA,PELCR,CHAPE,CALAN,CAPCA,HALLE,HALAL,CATAU,TYTAL,PICPU,MERNU,BUCRH,APAVI,LEPDI,COLST,CARCR,FALPE}|{MELUN}#{TAEGU,GEOFO,CORBR,MANVI,ACACH}|{NESNO}	0	2.26065	1973.22
N75	t3	{NESNO}|{GALGA,MELGA,ANAPL,TINMA,STRCA,PTEGU,MESUN,COLLI,PHORU,PODCR,CHLUN,TAUER,CUCCA,BALRE,CHAVO,OPHHO,EURHE,PHALE,GAVST,APTFO,PYGAD,FULGL,PHACA,NIPNI,EGRGA,PELCR,CHAPE,CALAN,CAPCA,HALLE,HALAL,CATAU,TYTAL,PICPU,MERNU,BUCRH,APAVI,LEPDI,COLST,CARCR,FALPE}#{TAEGU,GEOFO,CORBR,MANVI,ACACH}|{MELUN}	0	4.1703	1973.22
N80	t1	{TAEGU,GEOFO,CORBR,MANVI,ACACH}|{NESNO,MELUN}#{FALPE}|{GALGA,MELGA,ANAPL,TINMA,STRCA,PTEGU,MESUN,COLLI,PHORU,PODCR,CHLUN,TAUER,CUCCA,BALRE,CHAVO,OPHHO,EURHE,PHALE,GAVST,APTFO,PYGAD,FULGL,PHACA,NIPNI,EGRGA,PELCR,CHAPE,CALAN,CAPCA,HALLE,HALAL,CATAU,TYTAL,PICPU,MERNU,BUCRH,APAVI,LEPDI,COLST,CARCR}	1	719.529	1558.17
N80	t2	{GALGA,MELGA,ANAPL,TINMA,STRCA,PTEGU,MESUN,COLLI,PHORU,PODCR,CHLUN,TAUER,CUCCA,BALRE,CHAVO,OPHHO,EURHE,PHALE,GAVST,APTFO,PYGAD,FULGL,PHACA,NIPNI,EGRGA,PELCR,CHAPE,CALAN,CAPCA,HALLE,HALAL,CATAU,TYTAL,PICPU,MERNU,BUCRH,APAVI,LEPDI,COLST,CARCR}|{NESNO,MELUN}#{FALPE}|{TAEGU,GEOFO,CORBR,MANVI,ACACH}	0	407.629	1558.17
N80	t3	{TAEGU,GEOFO,CORBR,MANVI,ACACH}|{GALGA,MELGA,ANAPL,TINMA,STRCA,PTEGU,MESUN,COLLI,PHORU,PODCR,CHLUN,TAUER,CUCCA,BALRE,CHAVO,OPHHO,EURHE,PHALE,GAVST,APTFO,PYGAD,FULGL,PHACA,NIPNI,EGRGA,PELCR,CHAPE,CALAN,CAPCA,HALLE,HALAL,CATAU,TYTAL,PICPU,MERNU,BUCRH,APAVI,LEPDI,COLST,CARCR}#{FALPE}|{NESNO,MELUN}	0	431.013	1558.17
N81	t1	{TAEGU,GEOFO,CORBR,MANVI,ACACH,NESNO,MELUN}|{FALPE}#{CARCR}|{GALGA,MELGA,ANAPL,TINMA,STRCA,PTEGU,MESUN,COLLI,PHORU,PODCR,CHLUN,TAUER,CUCCA,BALRE,CHAVO,OPHHO,EURHE,PHALE,GAVST,APTFO,PYGAD,FULGL,PHACA,NIPNI,EGRGA,PELCR,CHAPE,CALAN,CAPCA,HALLE,HALAL,CATAU,TYTAL,PICPU,MERNU,BUCRH,APAVI,LEPDI,COLST}	1	811.71	1561.3
N81	t2	{GALGA,MELGA,ANAPL,TINMA,STRCA,PTEGU,MESUN,COLLI,PHORU,PODCR,CHLUN,TAUER,CUCCA,BALRE,CHAVO,OPHHO,EURHE,PHALE,GAVST,APTFO,PYGAD,FULGL,PHACA,NIPNI,EGRGA,PELCR,CHAPE,CALAN,CAPCA,HALLE,HALAL,CATAU,TYTAL,PICPU,MERNU,BUCRH,APAVI,LEPDI,COLST}|{FALPE}#{CARCR}|{TAEGU,GEOFO,CORBR,MANVI,ACACH,NESNO,MELUN}	0	363.283	1561.3
N81	t3	{TAEGU,GEOFO,CORBR,MANVI,ACACH,NESNO,MELUN}|{GALGA,MELGA,ANAPL,TINMA,STRCA,PTEGU,MESUN,COLLI,PHORU,PODCR,CHLUN,TAUER,CUCCA,BALRE,CHAVO,OPHHO,EURHE,PHALE,GAVST,APTFO,PYGAD,FULGL,PHACA,NIPNI,EGRGA,PELCR,CHAPE,CALAN,CAPCA,HALLE,HALAL,CATAU,TYTAL,PICPU,MERNU,BUCRH,APAVI,LEPDI,COLST}#{CARCR}|{FALPE}	0	386.309	1561.3
N82	t1	{TAEGU,GEOFO,CORBR,MANVI,ACACH,NESNO,MELUN,FALPE}|{CARCR}#{PICPU,MERNU,BUCRH,APAVI,LEPDI,COLST}|{GALGA,MELGA,ANAPL,TINMA,STRCA,PTEGU,MESUN,COLLI,PHORU,PODCR,CHLUN,TAUER,CUCCA,BALRE,CHAVO,OPHHO,EURHE,PHALE,GAVST,APTFO,PYGAD,FULGL,PHACA,NIPNI,EGRGA,PELCR,CHAPE,CALAN,CAPCA,HALLE,HALAL,CATAU,TYTAL}	1	910.557	1504.22
